강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
ISTQB Foundation Level chapter-wise exams [2022 updated],https://www.udemy.com/course/istqb-foundation-level-2018-syllabus-exams/,Tarek Roshdy,4.590917,2403,12425,0,279개의 질문
Robot Framework Test Automation - Level 2,https://www.udemy.com/course/robot-framework-2/,Bryan Lamb,4.5334105,2385,14782,62,5시간
"REST API Testing, Automation using POSTMAN",https://www.udemy.com/course/rest-api-testing-automation-using-postman/,Tejasvi Hegde,4.2730656,2276,12311,78,8시간
HP-UFT 12.0 Automation,https://www.udemy.com/course/hp-uft-120-automation/,Coding Gears | Train Your Brain,4.2383256,2245,20247,55,13시간
Testing Spring Boot: Beginner to Guru,https://www.udemy.com/course/testing-spring-boot-beginner-to-guru/,"John Thompson • 385,000+ Enrollments Worldwide",4.510262,2217,19474,214,17시간
Elegant Automation Frameworks with Python and Pytest,https://www.udemy.com/course/elegant-automation-frameworks-with-python-and-pytest/,Brandon Blair,4.4498525,2111,9602,15,6시간
REST APIs with Postman for Absolute Beginners,https://www.udemy.com/course/api-with-postman-for-absolute-beginners/,Valentin Despa,4.6852207,2094,20721,55,3.5시간
Learn SQL +Security(pen) testing from Scratch,https://www.udemy.com/course/database-testing-tutorial/,Rahul Shetty,4.66107,2085,13327,117,13.5시간
Learn Manual Software Testing with Live Project + Jira Tool,https://www.udemy.com/course/learn-manual-software-testing-with-live-project-jira-tool/,Pavan Kumar,4.597556,2084,8566,15,20시간
Unit Testing and Test Driven Development in Python,https://www.udemy.com/course/unit-testing-and-tdd-in-python/,Richard Wells,4.299281,2043,8799,23,2시간
SDET/Test Architect Essentials -Road to Full stack QA,https://www.udemy.com/course/sdettraining-testarchitect-fullstackqa/,Rahul Shetty,4.5044827,1989,14839,74,13시간
Automation Architect - Selenium WebDriver - 9 Live Projects,https://www.udemy.com/course/selenium-automation-architect-tutorials/,Rahul Arora,4.4022765,1907,14087,296,103.5시간
