강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
CUDA 프로그래밍 기초,https://www.udemy.com/course/gpu-cuda/,광성 최,3.6809945,35,145,18,2.5시간
IntelliJ Gradle로 Spring Framework 빌드하고 리팩토링하기,https://www.udemy.com/course/build_refactoring_with_intellij-spring/,Kyeongrok Kim,3.4851065,35,358,20,4시간
파이썬(Python)과 로블록스(Roblox)로 메타버스(Metaverse) 이해하고 만들어 보기,https://www.udemy.com/course/python-roblox-metaverse/,에피노 주식회사,4.4122624,35,133,25,2시간
처음 시작하는 C Programming,https://www.udemy.com/course/softcampus-cp/,Softcampus Academy,3.6748881,33,806,23,5.5시간
초보 Spring Framework 개발자를 위한  실습을 통한 입문 과정 윤재성,https://www.udemy.com/course/sooftcampus-sfb/,Softcampus Academy,4.2268486,33,156,29,12시간
【글로벌 Best】 시계열 데이터 분석 with 파이썬 (한글자막),https://www.udemy.com/course/250-timeseries-kor-sub-top-100/,Jose Portilla,4.775918,32,258,95,15.5시간
A 10 hour ASP.NET CORE Course in Korean,https://www.udemy.com/course/cnet-core/,Jeong-soo Kim,4.341317,27,142,30,11.5시간
【글로벌 Best】  완전 초보자를 위한 Java 프로그래밍 : 단기간에 Java 완벽 정복 (한글자막),https://www.udemy.com/course/best-java-programming/,in28Minutes Official,4.89613,25,208,372,31시간
【글로벌 Best】 Python 완벽 부트캠프 2022 : 파이썬 초보자에서 전문가로! (한글자막),https://www.udemy.com/course/best-python-bootcamp-2022/,Jose Portilla,4.8594317,21,121,155,22.5시간
파이썬 Python 드론 프로그래밍 입문 - 미국 실리콘밸리 현역 엔지니어와 함께 드론을 날려봅시다,https://www.udemy.com/course/python-drone-korean/,酒井 潤 (Jun Sakai),4.488932,20,129,46,6시간
【글로벌 Best】 OpenCV 및 딥러닝 을 이용한 Computer Vision 파이썬 (한글자막),https://www.udemy.com/course/best-opencv-computer-vision/,Jose Portilla,4.950876,18,224,92,14시간
데이터 분석이 쉬워지는 R 프로그래밍의 모든 것,https://www.udemy.com/course/cloom-r-basic/,클룸 (CLOOM),4.3373013,17,61,10,2.5시간
Pandas 완전 정복 부트캠프 2022: 파이썬 데이터 과학 (한글자막),https://www.udemy.com/course/pandas-2022/,Alexander Hagmann,5.0,14,72,325,34시간
[145시간 분량 강의 제공] Java 기초에서 실무까지 완전정복,https://www.udemy.com/course/145-java/,ITGO 아이티고,4.9382324,13,106,314,146.5시간
【글로벌】 Java 심화 과정: Java Reflection 마스터 (한글자막),https://www.udemy.com/course/java-reflection-master/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,4.885403,12,44,37,5.5시간
예제로 공부하는 Python 문제풀이 100제 - 기초부터 자격증까지,https://www.udemy.com/course/python-100/,ITGO 아이티고,4.162833,12,67,100,30시간
개발자영어,https://www.udemy.com/course/devenglish/,박재호 Jay Park,4.73877,11,87,28,7시간
쉽게 배우는 C언어 알고리즘 입문,https://www.udemy.com/course/c-bauiaw/,ITGO 아이티고,4.785118,10,30,21,6시간
Python으로 시작하는 Kaggle 포트폴리오 만들기,https://www.udemy.com/course/python_kaggle/,Evan Jung,4.895411,10,74,34,7.5시간
파이썬 데이터 분석 실무,https://www.udemy.com/course/maso-ds-python-onc32/,마소캠퍼스 머니매그넷,4.7127953,10,28,77,11.5시간
너무 쉬운 C 언어 입문,https://www.udemy.com/course/so_easy_c_language/,Tei Jang,4.7925243,10,28,14,2.5시간
너무 쉬운 파이썬(Python) 입문,https://www.udemy.com/course/so_easy_python/,Tei Jang,5.0,9,22,14,2.5시간
C언어 기초에서 활용까지 제대로 배우기(초급),https://www.udemy.com/course/c-ykzdif/,ITGO 아이티고,5.0,8,26,73,43.5시간
컴퓨터 과학적 사고와 프로그래밍 입문,https://www.udemy.com/course/maso-it-scratch-onc2002/,마소캠퍼스 머니매그넷,5.0,8,16,15,1.5시간
예제로 공부하는 Java 문제풀이 100제 - 기초부터 자격증까지,https://www.udemy.com/course/java-100/,ITGO 아이티고,4.575671,8,81,107,44.5시간
왕초보를 위한 알고리즘 핵심 이론 제대로 배우기,https://www.udemy.com/course/bfattewx/,ITGO 아이티고,5.0,8,28,27,14시간
"코딩교육의 시작, 엔트리 기초부터 심화까지",https://www.udemy.com/course/uztxhhty/,ITGO 아이티고,5.0,8,24,40,16.5시간
【글로벌 Best】 알고리즘 거래와 투자의 기술적 분석 with Python (한글자막),https://www.udemy.com/course/best-python/,Alexander Hagmann,5.0,8,100,165,13.5시간
너도 프론트엔드(FrontEnd) 개발자 할 수 있어! 자바스크립트(Javascript) 기초부터 응용까지!,https://www.udemy.com/course/javascript-o/,에피노 주식회사,5.0,7,33,48,9.5시간
ASP.NET CORE 페이징 컨트롤 제작 매뉴얼,https://www.udemy.com/course/dotnetpaging/,Jeong-soo Kim,4.8608747,7,36,45,10시간
파이썬 데이터 분석 입문,https://www.udemy.com/course/maso-ds-python-onc31/,마소캠퍼스 머니매그넷,4.798782,7,21,101,15시간
쉽게 배우는 C# 알고리즘 입문,https://www.udemy.com/course/c-wefxog/,ITGO 아이티고,5.0,7,37,24,9시간
【글로벌】 완전 초보자도 쉽게 마스터하는 파이썬 및 데이터 과학 강의 (한글자막),https://www.udemy.com/course/python-data-science-absolute-beginner/,Mammoth Interactive,5.0,7,23,198,26.5시간
"MySQL, 기초에서 실무까지 완전정복하기",https://www.udemy.com/course/mysql-ma/,ITGO 아이티고,4.218582,7,54,116,61.5시간
스크래치로 코딩 시작하기,https://www.udemy.com/course/lrggfuax/,ITGO 아이티고,5.0,6,21,19,5.5시간
[135시간 분량 강의 제공] Python(파이썬) 기초부터 실무까지 제대로 배우기,https://www.udemy.com/course/itgo-python/,ITGO 아이티고,5.0,6,118,242,136시간
쉽게 배우는 Python 알고리즘 입문,https://www.udemy.com/course/python-ye/,ITGO 아이티고,5.0,6,24,22,5.5시간
코딩 초보자를 위한 파이썬(Python) 입문(Beginner),https://www.udemy.com/course/effino-python/,에피노 주식회사,5.0,5,18,26,4시간
쉽게 배우는 Java 알고리즘 입문,https://www.udemy.com/course/java-kkt/,ITGO 아이티고,5.0,5,33,22,5시간
【글로벌 Best】 초보자를 위한 Python 3 프로그래밍 (한글 자막),https://www.udemy.com/course/best-python-3/,in28Minutes Official,5.0,4,26,139,11시간
"기초부터 심화까지 한번에 해결하는 자바스크립트, jQuery",https://www.udemy.com/course/jquery-h/,ITGO 아이티고,4.516406,4,55,234,121시간
쉽게 배우는 JavaScript 알고리즘 입문,https://www.udemy.com/course/javascript-z/,ITGO 아이티고,4.735482,4,53,24,6시간
[기초]누구나 쉽게 따라할 수 있는 R로 하는 데이터시각화(Visualisation),https://www.udemy.com/course/r-visualisation_basic/,Evan Jung,3.8269393,3,19,23,5시간
아빠가 들려주는 Rshiny 뚝딱 만들기,https://www.udemy.com/course/ez-rshiny/,김지형 M.D.,4.6669035,3,34,29,2.5시간
"개발자 입문 필수 3종 과정: 파이썬, HTML/CSS, 데이터베이스 기초",https://www.udemy.com/course/python_htmlcss_mssql/,Tei Jang,4.015384,2,7,57,13.5시간
R로 시작하는 비전공자를 위한 기초통계분석,https://www.udemy.com/course/r_basic_statistics/,Evan Jung,4.2698746,2,10,8,2.5시간
Javascript(자바스크립트) 플랫폼 Node js 제대로 배우기,https://www.udemy.com/course/javascript-node-js/,ITGO 아이티고,1.0,1,15,50,28.5시간
[C# 초보 강좌] 예제로 배우는 C# 프로그래밍,https://www.udemy.com/course/c-c-owpt/,Blue Star,5.0,1,9,29,6시간
Python 엑셀 프로그래밍 - with xlsxwriter,https://www.udemy.com/course/python-with-xlsxwriter/,호준 이,4.5,1,3,53,8.5시간
[DATA 한입] 파이썬을 활용한 웹크롤링,https://www.udemy.com/course/data-lzm/,HAPPY COLLEGE,4.0,1,3,49,7.5시간
초보자를 위한 C++ 프로그래밍 기초 다지기,https://www.udemy.com/course/c-tunmrk/,ITGO 아이티고,0.0,0,3,13,7.5시간
파이썬 프로그래밍 입문,https://www.udemy.com/course/wtrfrshp/,Softcampus Academy,0.0,0,2,15,6시간
