강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
【글로벌 Best】 TensorFlow 2.0 : 딥러닝 모델 구현 마스터 패키지(한글자막),https://www.udemy.com/course/best-keras-api-tensorflow-20/,Hadelin de Ponteves,5.0,6,88,133,13시간
【글로벌 Best】 Pandas 및 Python 을 이용한 데이터 분석 : 마스터 클래스 (한글자막),https://www.udemy.com/course/best-pandas-python/,"Dr. Ryan Ahmed, Ph.D., MBA",4.3177633,6,56,176,21시간
【글로벌 Best】 재무 분석을 위한 Python 및 Machine Learning 완벽가이드 (한글자막),https://www.udemy.com/course/best-python-mi-financial-analysis/,"Dr. Ryan Ahmed, Ph.D., MBA",4.765592,5,67,131,23시간
【글로벌 Best】 R 프로그래밍: Data Science 에서의 R 고급 분석 (한글자막),https://www.udemy.com/course/best-r-advanced/,Kirill Eremenko,5.0,5,30,53,6시간
【글로벌 Best】 Python 의 모든 것: 실전 문제로 배우는 파이썬 (한글자막),https://www.udemy.com/course/best-python-data-science/,Kirill Eremenko,5.0,5,35,75,11시간
【글로벌 Best】 스파크 스트리밍과 Scala 로 빅 데이터 스트리밍하기 (실전편),https://www.udemy.com/course/best-scala/,Sundog Education by Frank Kane,5.0,4,30,37,6.5시간
【글로벌 Best】 Deep Reinforcement Learning :딥 강화형 러닝 2.0 (한글자막),https://www.udemy.com/course/best-deep-reinforcement-learning/,Hadelin de Ponteves,5.0,4,34,63,9.5시간
【글로벌 Best】 Machine Learning 라이브러리 수학적 기초 (한글자막),https://www.udemy.com/course/best-ml-math/,Dr Jon Krohn,5.0,3,105,105,15.5시간
빅데이터 활용을 위한 R프로그래밍 한 번에 끝내기,https://www.udemy.com/course/r-kzpvmt/,ITGO 아이티고,4.377261,3,42,99,42.5시간
【글로벌 Best】 기초부터 배우는 Python 인공 신경망 : 완벽가이드 (한글자막),https://www.udemy.com/course/best-python-neural-networks/,Jones Granatyr,5.0,3,41,73,8.5시간
"SQL 개발자 전문 자격증, SQLD 완벽대비",https://www.udemy.com/course/sql-sqld/,ITGO 아이티고,3.9977753,3,38,56,28시간
쉽게 배우는 텍스트 마이닝(Text Mining),https://www.udemy.com/course/text-mining/,ITGO 아이티고,4.0,2,35,171,56시간
【글로벌 Best】 Python 을 사용한 데이터 시각화 (한글자막),https://www.udemy.com/course/best-python-data-visualization/,Jordan Sauchuk,5.0,2,44,49,4.5시간
"완전 초보자, 매력적인  R 차트 쉽게 만들기",https://www.udemy.com/course/r-data-visualization-for-total-beginers/,김지형 M.D.,5.0,2,23,13,2시간
"데이터분석 전문가 자격증, ADP 완벽대비",https://www.udemy.com/course/adp-clgr/,ITGO 아이티고,4.222222,2,16,39,18.5시간
"기초부터 탄탄하게, Machin Learning을 위한 선형대수학",https://www.udemy.com/course/machin-learning/,ITGO 아이티고,4.528302,2,22,41,16시간
인공지능을 위한 텐서플로2 + 케라스 라이브러리 실전 적용,https://www.udemy.com/course/tk-softcampus/,Softcampus Academy,2.0,1,1,27,7.5시간
코드리스 데이터 분석,https://www.udemy.com/course/kqfogepv/,에이블런 ABLEARN,5.0,1,1,11,4.5시간
SPSS와 엑셀로 배우는 데이터사이언스 필수 수학 및 통계,https://www.udemy.com/course/spss-bxj/,ITGO 아이티고,0.0,0,9,62,32시간
[DATA 한입] R을 활용한 경영데이터 분석,https://www.udemy.com/course/data-r-f/,HAPPY COLLEGE,0.0,0,0,51,7.5시간
"데이터분석 전문가 자격증(ADP), 핵심만 빠르게 정리하기",https://www.udemy.com/course/adp-ohpw/,ITGO 아이티고,0.0,0,0,22,11시간
파이썬 기반 판다스(Pandas)를 활용 한 데이터 분석,https://www.udemy.com/course/pandas-sc/,Softcampus Academy,0.0,0,1,25,9시간
"데이터 시각화, 분석 Spotfire(스팟파이어) 제대로 배우기",https://www.udemy.com/course/spotfire/,ITGO 아이티고,0.0,0,2,38,17.5시간
[통계직을 위한 통계학] 확률론과 데이터분석,https://www.udemy.com/course/vyghcmwe/,ITGO 아이티고,0.0,0,3,62,30시간
실전예제로 더하는 파이썬/판다스 플러스 알파,https://www.udemy.com/course/evryomas/,사무직 직장인,0.0,0,30,18,36분
Machine Learning A-Z™: Hands-On Python & R In Data Science,https://www.udemy.com/course/machinelearning/,Kirill Eremenko,4.5327806,158271,867190,320,44.5시간
Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Jose Portilla,4.62007,114115,533464,165,25시간
The Data Science Course 2022: Complete Data Science Bootcamp,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,365 Careers,4.6043024,106635,488434,488,30시간
R Programming A-Z™: R For Data Science With Real Exercises!,https://www.udemy.com/course/r-programming/,Kirill Eremenko,4.664571,45733,229971,83,10.5시간
Deep Learning A-Z™: Hands-On Artificial Neural Networks,https://www.udemy.com/course/deeplearning/,Kirill Eremenko,4.559286,40189,332865,174,22.5시간
