강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Vim Masterclass,https://www.udemy.com/course/vim-commands-cheat-sheet/,Jason Cannon,4.792448,4106,25496,50,7.5시간
Jenkins 2 Bootcamp: Fully Automate Builds to Deployment 2020,https://www.udemy.com/course/jenkins-continuous-integration-bootcamp/,Jason Taylor,4.466653,3813,22303,111,9시간
Team workflows in JIRA,https://www.udemy.com/course/team-workflows-in-jira/,Dan LeFebvre,4.449301,3119,14597,17,1.5시간
"Understanding Confluence for users, managers and admins",https://www.udemy.com/course/understanding-confluence-for-users-managers-and-admins/,Dan LeFebvre,4.5046263,3062,14886,45,4.5시간
The Complete Git Guide: Understand and master Git and GitHub,https://www.udemy.com/course/git-and-github-complete-guide/,"Bogdan Stashchuk | Software Engineer, MBA, PhD, CCIE",4.693375,3014,31927,292,23시간
Monitoring and Alerting with Prometheus,https://www.udemy.com/course/monitoring-and-alerting-with-prometheus/,Edward Viaene,4.1948977,2978,18415,38,4시간
GIT and Visual Studio with Azure DevOps Repos for Developers,https://www.udemy.com/course/azure-devops-repos-with-git-and-visual-studio-for-developers/,Patrick Videos,4.5339265,2936,11703,22,1.5시간
AWS Certified Developer Associate Practice Exams,https://www.udemy.com/course/aws-certified-developer-associate-practice-exams-amazon/,Jon Bonso | AWS Certified Solutions Architect Professional,4.609535,2912,17988,0,335개의 질문
Devops Fundamentals - CI/CD with AWS +Docker+Ansible+Jenkins,https://www.udemy.com/course/devops-fundamentals-aws/,Rahul Shetty,4.685985,2881,20355,58,9시간
Apache Spark 2.0 with Java -Learn Spark from a Big Data Guru,https://www.udemy.com/course/apache-spark-course-with-java/,Tao W.,4.4184346,2837,20285,60,3.5시간
Learn Devops: Continuously Deliver Better Software,https://www.udemy.com/course/learn-devops-continuously-deliver-better-software/,Edward Viaene,4.482103,2820,15320,74,4.5시간
Complete Guide to Build IOT Things from Scratch to Market,https://www.udemy.com/course/complete-guide-to-build-iot-things-from-scratch-to-market/,Junaid Ahmed,4.561455,2612,15092,77,6.5시간
Apache Kafka Series - Confluent Schema Registry & REST Proxy,https://www.udemy.com/course/confluent-schema-registry/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.7474384,2601,18396,58,4.5시간
Apache Maven: Beginner to Guru,https://www.udemy.com/course/apache-maven-beginner-to-guru/,"John Thompson • 385,000+ Enrollments Worldwide",4.4971004,2478,19569,198,17시간
Introduction to Continuous Integration & Continuous Delivery,https://www.udemy.com/course/introduction-to-continuous-integration-and-continuous-delivery/,Tim Buchalka,4.4438305,2395,5425,34,2.5시간
Docker and Containers: The Essentials,https://www.udemy.com/course/docker-and-containers-the-essentials/,Luke Angel,4.0208874,2325,21189,26,1시간
Master Network Automation with Python for Network Engineers,https://www.udemy.com/course/master-python-network-automation-for-network-engineers/,Andrei Dumitrescu,4.542799,2237,16833,233,20시간
