강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Build a Blockchain and a Cryptocurrency from Scratch,https://www.udemy.com/course/build-blockchain/,David Joseph Katz,4.5186515,3200,22381,71,6.5시간
Introduction to Data Structures & Algorithms in Java,https://www.udemy.com/course/introduction-to-data-structures-algorithms-in-java/,Raghavendra Dixit,4.24969,2957,22425,103,5시간
Master the Coding Interview: Big Tech (FAANG) Interviews,https://www.udemy.com/course/master-the-coding-interview-big-tech-faang-interviews/,Andrei Neagoie,4.74527,2945,34345,290,37시간
Agile Business Analysis: Getting / Writing Lean Requirements,https://www.udemy.com/course/getting-and-writing-it-requirements-in-a-lean-agile-world/,Tom and Angela Hathaway,4.3956513,2937,14704,39,4.5시간
Making Sense of User Stories,https://www.udemy.com/course/making-sense-of-user-stories/,Luminescence Training,4.453596,2825,10961,31,2시간
Docker for Java Developers,https://www.udemy.com/course/docker-for-java-developers/,"John Thompson • 385,000+ Enrollments Worldwide",4.435712,2700,20258,106,10.5시간
Java Streams API Developer Guide,https://www.udemy.com/course/java-streams/,Nelson Jamal,4.5028863,2695,12563,45,2.5시간
Learn Parallel Programming with C# and .NET,https://www.udemy.com/course/parallel-dotnet/,Dmitri Nesteruk,4.388963,2660,18539,54,5.5시간
Data Structures and Algorithms Bootcamp,https://www.udemy.com/course/data-structures-and-algorithms-bootcamp/,Jonathan Rasmusson,4.5290976,2407,14821,139,6.5시간
SOLID Principles of Object-Oriented Design and Architecture,https://www.udemy.com/course/solid-principles-object-oriented-design-architecture/,Vasiliy Zukanov,4.6333017,2337,10524,38,4.5시간
"Serverless Framework Bootcamp: Node.js, AWS & Microservices",https://www.udemy.com/course/serverless-framework/,Ariel Weinberger,4.539615,2333,61100,77,5.5시간
Building Recommender Systems with Machine Learning and AI,https://www.udemy.com/course/building-recommender-systems-with-machine-learning-and-ai/,Sundog Education by Frank Kane,4.4959707,2321,40373,127,11.5시간
The Linux Command Line Bootcamp: Beginner To Power User,https://www.udemy.com/course/the-linux-command-line-bootcamp/,Colt Steele,4.802459,2266,16163,165,16시간
"Data Structures & Algorithms, Level-up for Coding Interviews",https://www.udemy.com/course/cpp-data-structures-algorithms-levelup-prateek-narang/,Prateek Narang,4.6397247,2194,14752,243,30시간
Pragmatic System Design,https://www.udemy.com/course/pragmatic-system-design/,Alexey Soshin,4.406332,2140,14653,85,4.5시간
Build a Serverless App with AWS Lambda - Hands On!,https://www.udemy.com/course/build-a-serverless-app-with-aws-lambda-hands-on/,Sundog Education by Frank Kane,4.51258,2064,17273,59,7.5시간
Learning Data Structures in JavaScript from Scratch,https://www.udemy.com/course/learning-data-structures-in-javascript-from-scratch/,Eric Traub,4.640495,2052,13923,56,3.5시간
Apache Airflow: The Hands-On Guide,https://www.udemy.com/course/the-ultimate-hands-on-course-to-master-apache-airflow/,Marc Lamberti,4.6200795,2032,15079,113,14시간
Data Processing with Logstash (and Filebeat),https://www.udemy.com/course/processing-events-with-logstash/,Bo Andersen,4.445806,2009,13916,53,5.5시간
Distributed Systems & Cloud Computing with Java,https://www.udemy.com/course/distributed-systems-cloud-computing-with-java/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,4.7342916,1962,13845,51,7.5시간
Learn RabbitMQ: Asynchronous Messaging with Java and Spring,https://www.udemy.com/course/learn-rabbitmq-asynchronous-messaging-with-java-and-spring/,Niyazi Erdogan,4.1068916,1925,8461,33,2.5시간
GUI Development with Python and Tkinter,https://www.udemy.com/course/desktop-gui-python-tkinter/,Jose Salvatierra,4.6898375,1853,10775,116,11시간
Learning Algorithms in JavaScript from Scratch,https://www.udemy.com/course/learning-algorithms-in-javascript-from-scratch/,Eric Traub,4.49651,1849,20923,69,3.5시간
PLC Programming - Training from Scratch on RSLogix500 & 5000,https://www.udemy.com/course/plc-programming-training-from-scratch-on-rslogix500-5000/,Vladimir Romanov,4.487249,1801,8030,91,14.5시간
Learn Blockchain By Building Your Own In JavaScript,https://www.udemy.com/course/build-a-blockchain-in-javascript/,Eric Traub,4.507848,1743,19435,75,8시간
Using SOLID Principles to Write Better Code - A Crash Course,https://www.udemy.com/course/1-hour-crash-course-using-solid-to-write-better-code/,Riaan Nel,4.4239216,1726,5804,11,1시간
Getting Started .NET Core Microservices RabbitMQ,https://www.udemy.com/course/getting-started-net-core-microservices-rabbitmq/,Manish Narayan,4.3248506,1685,8150,77,4.5시간
