강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Cisco CCNA 200-301 – The Complete Guide to Getting Certified,https://www.udemy.com/course/ccna-complete/,Neil Anderson,4.7715755,42568,136339,311,38.5시간
Certified Kubernetes Administrator (CKA) with Practice Tests,https://www.udemy.com/course/certified-kubernetes-administrator-with-practice-tests/,Mumshad Mannambeth,4.694143,39282,170308,260,18.5시간
The Complete Networking Fundamentals Course. Your CCNA start,https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/,David Bombal,4.5714855,34520,160233,682,79.5시간
The Complete Oracle SQL Certification Course,https://www.udemy.com/course/the-complete-oracle-sql-certification-course/,Imtiaz Ahmad,4.5900455,34045,130397,71,16.5시간
CompTIA Security+ (SY0-601) Complete Course & Exam,https://www.udemy.com/course/securityplus/,"Jason Dion • 700,000+ Enrollments Worldwide",4.6830935,32818,123612,274,21.5시간
AZ-104 Microsoft Azure Administrator Exam Certification 2021,https://www.udemy.com/course/70533-azure/,Scott Duffy  • 700.000+ Students,4.537824,30065,142892,161,12.5시간
AZ-303 Azure Architecture Technologies Exam Prep 2021,https://www.udemy.com/course/70534-azure/,Scott Duffy  • 700.000+ Students,4.5614324,26627,130754,152,12.5시간
TOTAL: CompTIA Network+ Certification (N10-007),https://www.udemy.com/course/comptia-network-cert-n10-007-the-total-course/,"Total Seminars • 900,000+ Enrollments",4.6883664,26613,103257,172,23시간
2022 Complete Salesforce Administrator Certification Course,https://www.udemy.com/course/salesforce-administrator/,Mike Wheeler,4.58411,26358,101033,386,32.5시간
Information Security Awareness-ISO 27001:2013,https://www.udemy.com/course/isms-awareness/,infySEC Global,4.4567947,25861,40193,39,1시간
CCNA 2020 200-125 Video Boot Camp With Chris Bryant,https://www.udemy.com/course/ccna-on-demand-video-boot-camp/,Chris Bryant,4.5901647,24855,103871,467,62.5시간
AWS Certified Solutions Architect Associate Practice Exams,https://www.udemy.com/course/aws-certified-solutions-architect-associate-amazon-practice-exams-saa-c03/,Jon Bonso | AWS Certified Solutions Architect Professional,4.605239,24365,129154,0,390개의 질문
AWS Certified Cloud Practitioner: 6 Full Practice Exams 2022,https://www.udemy.com/course/aws-certified-cloud-practitioner-practice-test/,Mozdora Education,4.600366,23706,111256,0,390개의 질문
Cisco CCNA 200-301 Exam: Complete Course with practical labs,https://www.udemy.com/course/cisco-ccent-icnd1-100-105-complete-course-sims-and-gns3/,David Bombal,4.662342,22240,170717,684,79시간
AWS Certified Cloud Practitioner Exam Training [New] 2022,https://www.udemy.com/course/aws-certified-cloud-practitioner-training-course/,Neal Davis | AWS Certified Solutions Architect & Developer,4.669615,22161,83690,202,12시간
Certified Tester ISTQB® Foundation Level (CTFL) Updated 2021,https://www.udemy.com/course/certified-tester-foundation-level-ctfl/,Maged Koshty,4.3380136,21860,67769,87,8.5시간
Amazon Web Services (AWS) Certified 2022 - 4 Certifications!,https://www.udemy.com/course/aws-certified-associate-architect-developer-sysops-admin/,BackSpace Academy,4.544459,20332,128199,200,46시간
Introduction to Service Management with ITIL 4,https://www.udemy.com/course/service-management-itil-4/,"Jason Dion • 700,000+ Enrollments Worldwide",4.4464455,20099,63699,24,2시간
AZ-900: Microsoft Azure Fundamentals Original Practice Tests,https://www.udemy.com/course/az900-azure-tests/,Scott Duffy  • 700.000+ Students,4.449332,19908,82369,0,150개의 질문
AZ-900 Bootcamp: Microsoft Azure Fundamentals (MAR 2022),https://www.udemy.com/course/az-900-azure-exam-prep-understanding-cloud-concepts/,Thomas Mitchell,4.50182,19350,72025,74,5시간
AWS Certified Cloud Practitioner 2022,https://www.udemy.com/course/aws-certified-cloud-practitioner/,Zeal Vora,4.590369,19003,109875,140,18시간
AZ-204 Developing Solutions for Microsoft Azure Exam Prep,https://www.udemy.com/course/70532-azure/,Scott Duffy  • 700.000+ Students,4.4573226,18700,97790,128,10시간
CompTIA Network+ (N10-007) Full Course & Practice Exam,https://www.udemy.com/course/networkplus/,"Jason Dion • 700,000+ Enrollments Worldwide",4.6925087,17137,61365,103,14.5시간
TOTAL: CompTIA A+ Certification (220-1002).,https://www.udemy.com/course/new-comptia-a-2019-certification-1002-the-total-course/,"Total Seminars • 900,000+ Enrollments",4.739345,16870,101268,106,15시간
The Complete Agile Scrum Fundamentals Course + Certification,https://www.udemy.com/course/scrum-course-udemy/,Mauricio Rubio - Agile Guru & Founder of AgileKB | AgileLee & Ureducation,4.3585205,13856,79248,85,13시간
Scrum for Beginners + Scrum Master Certification Preparation,https://www.udemy.com/course/agile-scrum-for-beginners-scrum-master-certification-preparation/,Valentin Despa,4.6990776,13592,55108,123,6.5시간
AZ-104 Microsoft Azure Administrator Certification 2022,https://www.udemy.com/course/microsoft-certified-azure-administrator/,Alan Rodrigues,4.59654,12996,61410,369,25시간
Certified Lean Six Sigma White Belt Training [2022],https://www.udemy.com/course/six-sigma-white-belt/,Sandeep Kumar ­- Quality Gurus Inc.,4.37573,12803,62258,18,2시간
AWS Certified Cloud Practitioner 500 Practice Exam Questions,https://www.udemy.com/course/aws-certified-cloud-practitioner-practice-exams-c/,Neal Davis | AWS Certified Solutions Architect & Developer,4.598424,12565,60734,0,390개의 질문
Salesforce Certified Administrator Training (Apr 2022),https://www.udemy.com/course/salesforce-certified-administrator-201-2017/,Francis Pindar | Salesforce Certified Architect & 7x Salesforce MVP,4.559341,11919,56224,135,21.5시간
Six Sigma: Certified Lean Six Sigma Green Belt | Accredited,https://www.udemy.com/course/six-sigma-green-belt-including-microsoft-excel-application/,Six Sigma Academy Amsterdam,4.547563,11871,38392,69,6.5시간
Ultimate AWS Certified SysOps Administrator Associate 2022,https://www.udemy.com/course/ultimate-aws-certified-sysops-administrator-associate/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.729522,11401,75313,354,25시간
"70-461, 761: Querying Microsoft SQL Server with Transact-SQL",https://www.udemy.com/course/70-461-session-2-querying-microsoft-sql-server-2012/,Phillip Burton,4.5791245,10547,54678,281,30시간
CompTIA CySA+ (CS0-002) Complete Course & Practice Exam,https://www.udemy.com/course/comptiacsaplus/,"Jason Dion • 700,000+ Enrollments Worldwide",4.6789393,10437,50231,302,32.5시간
CISSP Certification: CISSP Domain 1 & 2 Boot Camp UPDATED 22,https://www.udemy.com/course/cissp-domain-1-2/,"Thor Pedersen | 290,000+ Enrollments Worldwide",4.618567,10106,43811,49,6시간
ITIL 4 Foundation Practice Certification Exams (6 Exams),https://www.udemy.com/course/itil-4-foundation-practice-certification-exams-6-exams-q/,"Jason Dion • 700,000+ Enrollments Worldwide",4.53677,10037,52706,0,240개의 질문
"CompTIA A+ (220-1001) Test Prep, Exams and Simulations",https://www.udemy.com/course/comptia-220-1001-exam/,"Jason Dion • 700,000+ Enrollments Worldwide",4.6782355,9977,40181,20,3시간
AWS Certified Data Analytics Specialty 2022 - Hands On!,https://www.udemy.com/course/aws-data-analytics/,Sundog Education by Frank Kane,4.5584903,9884,67896,179,16시간
