강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Microsoft SQL Server 2012 Certification Training Exam 70-461,https://www.udemy.com/course/microsoft-sql-server-2012-certification-70-461/,Infinite Skills,4.453023,3478,16016,148,12.5시간
Neo4j: GraphDB Foundations with Cypher,https://www.udemy.com/course/neo4j-foundations/,Louis Sayers,4.414149,3375,15145,76,4.5시간
Database Design,https://www.udemy.com/course/database-design/,Caleb Curry,4.1239123,3291,92879,52,8.5시간
Database Design Introduction,https://www.udemy.com/course/cwdatabase-design-introduction/,Intellezy Trainers,4.642705,3264,10183,20,1.5시간
Snowflake[A-Z] Zero to Hero Masterclass(Core+SQL+API+Visual),https://www.udemy.com/course/snowflake-zero-to-hero-masterclass/,Kashish Gakkar,4.416555,3039,16943,229,18시간
The Complete MySQL Developer Course,https://www.udemy.com/course/the-complete-mysql-developer-course/,Rob Percival,4.4122534,2922,19490,132,10.5시간
LEARNING PATH: Complete Roadway to Informatica Powercenter 9,https://www.udemy.com/course/learning-path-complete-roadway-to-informatica-powercenter-9/,Packt Publishing,4.361931,2826,11550,69,5시간
Complete SQL and Databases Bootcamp: Zero to Mastery [2022],https://www.udemy.com/course/complete-sql-databases-bootcamp-zero-to-mastery/,Andrei Neagoie,4.529511,2805,21705,279,24.5시간
"SQL Bootcamp with MySQL, PHP & Python : 5 Courses in 1",https://www.udemy.com/course/complete-sql-bootcamp-with-mysql-php-python/,Creative Online School,4.0167184,2722,267107,36,3시간
The Ultimate Oracle SQL Course: SQL Made Practical,https://www.udemy.com/course/oracle-sql-from-scratch/,Carlos from Standout-Dev Academy,4.6396804,2655,13224,210,16시간
Learn SQL Using PostgreSQL: From Zero to Hero,https://www.udemy.com/course/postgresql-from-zero-to-hero/,Will Bunker,4.339174,2548,14726,182,16시간
"Mastering AWS Glue, QuickSight, Athena & Redshift Spectrum",https://www.udemy.com/course/aws-serverless-glue-redshift-spectrum-athena-quicksight-training/,Siddharth Mehta,4.224351,2523,17229,193,18.5시간
Apache Kafka for Developers using Spring Boot[LatestEdition],https://www.udemy.com/course/apache-kafka-for-developers-using-springboot/,Pragmatic Code School,4.549663,2480,15960,88,9시간
SQL Server Performance Tuning Part 1,https://www.udemy.com/course/sql-server-performance-tuning-part-1/,Raphael Asghar,4.443658,2346,10976,37,6시간
Getting Started With Apache Cassandra ,https://www.udemy.com/course/apache-cassandra/,Infinite Skills,4.409058,2315,12638,124,8시간
The Complete Database Design & Modeling Beginners Tutorial,https://www.udemy.com/course/the-complete-database-modeling-and-design-beginners-tutorial/,Rares Ilea,4.3138785,2301,19617,24,2.5시간
Learn T-SQL From Scratch For SQL Server Administrator,https://www.udemy.com/course/become-a-production-sql-server-administrator/,Raphael Asghar,4.618752,2208,14475,63,9시간
SQL for Beginners: The Easiest Way to Learn SQL Step by Step,https://www.udemy.com/course/learn-sql-from-scratch/,Code Star Academy,4.160217,2180,12458,96,8.5시간
