강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
Advanced Web Hacking and Web Security,https://www.udemy.com/course/advanced-web-hacking/,infySEC Global,4.276699,98,629,28,2시간
Windows Server 2019 Administration from Beginner to Advanced,https://www.udemy.com/course/windows-server-2019-administration-from-beginner-to-advanced/,Ankit Patel,2.9359684,98,585,52,4.5시간
Web Application Security,https://www.udemy.com/course/web-application-security/,The Art Of Service,3.7392688,98,370,55,2.5시간
Virtual Private Networks for beginners – Advanced topics,https://www.udemy.com/course/virtual-private-networks-for-beginners-advanced-topics/,Marious Kuriata,4.557868,97,706,29,2.5시간
CCIE Routing & Switching Version 5.0 - Security,https://www.udemy.com/course/cciersv5-security/,sikandar Shaik,4.643609,97,1074,40,8시간
Make a Your Own Free VPN with AWS/Cloud Computing!,https://www.udemy.com/course/make-a-your-own-free-vpn-with-awscloud-computing/,Austin Patkos,4.368293,97,20766,12,1시간
Full Mobile Hacking Course,https://www.udemy.com/course/full-mobile-hacking-course/,Loi Liang Yang,4.178052,96,1164,28,4시간
Reverse Engineering 3: x64dbg Graphical Static Analysis,https://www.udemy.com/course/x64dbg-static-analysis/,Paul Chin,4.2833323,96,17291,13,1.5시간
Reverse Engineering and Memory Hacking with Cheat Engine,https://www.udemy.com/course/reverse-engineering-memory-hacking/,Paul Chin,4.7400613,96,26039,16,3시간
OSINT (Open Source Intelligence) Social Engineering Course,https://www.udemy.com/course/osint-open-source-intelligence-social-engineering-course/,Skill Force Academy,4.70113,96,738,23,1.5시간
"Secure VPS in Ubuntu 20.04: LetsEncrypt, Cloudflare and more",https://www.udemy.com/course/secure-vps-with-ubuntu-2004-nginx-mysql-letsencrypt-cloudflare-more/,JuanD MeGon,4.785186,96,600,76,9시간
Information Security Concepts and Secure Design Principles,https://www.udemy.com/course/information-security-concepts-and-secure-design-principles/,Hack2Secure Training,4.4427876,95,1214,16,2시간
Cyber Security Awareness For Everyone,https://www.udemy.com/course/cyber-security-awareness-for-everyone/,Mohamad Mahjoub,4.562984,95,12290,21,1시간
Mr Robot TV Show In Real Life - Cyber Security,https://www.udemy.com/course/mr-robot-tv-show-in-real-life-cyber-security-n/,Musab Zayadneh,3.7110763,94,17765,96,6.5시간
Fundamentals of Networking for Effective Backend Design,https://www.udemy.com/course/fundamentals-of-networking-for-effective-backend-design/,Hussein Nasser,4.8563614,94,1442,37,8시간
"Setup Own Asterisk VoIP Server with Android, iOS & Win Apps",https://www.udemy.com/course/quick-setup-asterisk-voip-server-with-android-ios-win-apps/,Abhilash Nelson,4.5004764,93,3494,12,1.5시간
WiFi Fundamentals,https://www.udemy.com/course/wi-fi-fundamentals-with-location-and-analytics/,Ofer Shmueli,3.7902389,93,3127,45,3.5시간
CEH Test Preperation Guide For Beginners,https://www.udemy.com/course/the-certified-ethical-hackingceh-course-x/,Pronoy Kumar,2.9838898,93,6092,7,32분
IT Security Gumbo: Cloud Security Technology,https://www.udemy.com/course/it-security-gumbo/,Corey Charles,3.7286663,93,369,24,3시간
CCNP Security SIMOS 300-209 Deep Dive:,https://www.udemy.com/course/ccnp-security-300-209-simos-deep-dive-with-baldev/,Baldev Singh,4.3433204,93,751,243,39.5시간
Scanning & Discovery Techniques For Penstesters,https://www.udemy.com/course/the-nmap-course-for-ethical-hackers/,Abdul Motin,3.8636365,92,9642,7,36분
Practical Internet of Things Hacking - 2021,https://www.udemy.com/course/practical-internet-of-things-hacking-2021/,Haitham Alani,4.0542054,92,19230,15,2.5시간
Bug Bounty Secrets - Bug Bounty From Industry's Perspective,https://www.udemy.com/course/web-hacking-secrets-owasp-testing-methodology/,Corporate Security Institute (CSI),4.3805084,92,783,22,3.5시간
Reverse Engineering 5: Reversing Visual Basic,https://www.udemy.com/course/reverse-engineering-visual-basic/,Paul Chin,4.4491105,92,28402,15,1.5시간
AWS Networking Design - In Depth,https://www.udemy.com/course/aws-networking-design/,Cloud Design Arena,4.6634145,92,1087,96,10.5시간
"Mobile CS Voice Core Concepts in 2G GSM, 3G UMTS & 4G-LTE",https://www.udemy.com/course/core-network-fundamentals-in-2g-3g-4g-voice-domain/,Amir Magdy,3.9221668,92,740,39,6.5시간
Designing RF Communication Systems Using SDRs with GNU Radio,https://www.udemy.com/course/software-defined-radio-with-gnu-radio-companion-real-time-rf-systems/,Dr. Moazzam Tiwana,4.524423,92,534,73,3.5시간
Enumeration Course For Ethical Hackers,https://www.udemy.com/course/enumeration-course-for-ethical-hackers/,Shokal Shah,3.5145688,91,8671,7,37분
Ethernet Network Training. Basic to Intermediate.,https://www.udemy.com/course/ethernet-training-basic-to-intermediate/,Jeff Sharman,3.9543192,91,277,12,1.5시간
Cybersecurity: Attack & Defense Strategies (Red & Blue Team),https://www.udemy.com/course/cybersecurity-attack-defense-strategies-red-blue-team/,Packt Publishing,4.176238,91,797,64,7시간
Fundamental Question on Ethical Hacking,https://www.udemy.com/course/fundamental-question-on-ethical-hacking/,Harish Kumar Maheshwari,4.150865,91,21448,0,60개의 질문
Database Security for Cyber Professionals,https://www.udemy.com/course/database-security-for-cyber-professionals/,Chad Russell,3.2874527,90,912,15,3.5시간
Deploying a Secure Virtual Private Server with Ubuntu 20.04,https://www.udemy.com/course/deploying-a-secure-virtual-private-server-with-ubuntu-2004/,Trevor Sawler,4.7351084,90,576,66,4.5시간
Learning Network Technology and Security ,https://www.udemy.com/course/network-security/,Infinite Skills,4.3494606,90,1021,59,8시간
CISSA - Certified Information Systems Security Auditor,https://www.udemy.com/course/cissa-certified-information-systems-security-auditor/,Mile2® Cyber Security Certifications,4.25918,90,519,22,11시간
4G LTE EPC Evolved Packet Core | Standards & Main concepts,https://www.udemy.com/course/4g-lte-evolved-packet-core-network-epc-e-utran/,Amir Magdy,3.7185585,90,810,30,5.5시간
Blue Team Boot Camp: Defending Against Hackers,https://www.udemy.com/course/blue-team-boot-camp-defending-against-hackers/,Jonathan Elliott,4.719427,89,720,58,9.5시간
