강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
HTML,https://www.udemy.com/course/html-web-development-skills/,DIGIFLAX E-LEARNING,4.62201,18,1728,16,1시간
Write first assembly language program and run it on emulator,https://www.udemy.com/course/write-the-first-assembly-program-and-run-it-on-emulator/,Jesse Li,4.102311,17,3321,15,1.5시간
Build your IaaS Cloud infrastructure with OpenStack,https://www.udemy.com/course/build-your-cloud-infrastructure-with-openstack-xena/,Akoley Aristide BEKROUNDJO,3.5783224,17,468,12,2시간
jGRASP Basics for New Java Programmers (PC),https://www.udemy.com/course/jgrasp-basics-for-new-java-programmers-pc/,Carden Reichert,4.225339,17,3682,9,40분
LIVE FR8 App – advancing 4IR logistics using Cloud computing,https://www.udemy.com/course/live-fr8-app-advancing-4ir-logistics-using-cloud-computing/,Andria Rautenbach,4.0852923,14,950,14,1시간
java basic -simple and direct explanation,https://www.udemy.com/course/java-basic-simple-and-direct-explanation/,Sujit panigrahi,4.4171677,13,568,22,1.5시간
VmWare Virtualization Basics Course,https://www.udemy.com/course/vmware-virtualization-basics-course/,Yavuz BULUT,4.602509,13,602,9,43분
Getting Started with Life QI,https://www.udemy.com/course/getting-started-with-life-qi/,Life QI Quality Improvement Software,3.6708899,13,1865,9,32분
An Introduction to the Lonero OS,https://www.udemy.com/course/lonero-os/,Andrew Magdy Kamal,4.003322,13,3093,8,33분
"Dynamic HTML - Combination of HTML, JavaScript and CSS",https://www.udemy.com/course/dynamic-html/,DIGIFLAX E-LEARNING,3.8505704,12,2330,15,1시간
Devops Environment - Prep for getting started,https://www.udemy.com/course/devops-virtualization-creating-virtual-machine/,Arbaz Md,3.654983,11,1288,10,35분
Deadlocks in Operating System,https://www.udemy.com/course/deadlocks-in-operating-system/,Megha Patil,4.8092866,11,817,6,40분
Azure Basics Part4 (App Service ),https://www.udemy.com/course/azure-basics-part4-app-service/,Rohit Abraham,4.543836,10,1342,23,1시간
Protect Your Kids! Apple iOS Restrictions iPhone & iPad.,https://www.udemy.com/course/protect-your-kids/,Jesse Edberg - Lead Sr. Macintosh Engineer,4.7474375,10,2712,6,1시간
Command Line for Beginners: Mac OS & Linux,https://www.udemy.com/course/command-line-for-beginners-mac-os-linux/,Alida School,4.1225123,9,1123,22,2시간
Chromebook Tech Support,https://www.udemy.com/course/chromebook-tech-support/,Phonlab Tech,4.386557,8,777,16,1.5시간
Embedded C: An Easy Way To Learn,https://www.udemy.com/course/code-it-an-east-way-to-learn/,Pedro Planas,1.6344206,7,588,17,1시간
Build Your Home Virtualization Lab,https://www.udemy.com/course/build-your-home-practice-lab/,Dhananjay Naldurgkar,4.534665,6,513,14,2시간
"Serial Peripheral Interface - NXP Kinetis KL25, MAX7219",https://www.udemy.com/course/serial-peripheral-interface-nxp-kinetis-kl25-max7219/,Hariharan Veerappan,3.658353,6,1122,5,38분
Azure Basics Part 5,https://www.udemy.com/course/azure-basics-part-5/,Rohit Abraham,4.3340383,6,1341,27,1.5시간
CSS - Web Development Skills,https://www.udemy.com/course/css-web-development-skills/,DIGIFLAX E-LEARNING,3.8671505,4,1042,18,1시간
Mainframe DFSORT/SYNCSORT,https://www.udemy.com/course/mainframe-dfsort-syncsort/,LTS Tech Solutions,2.6435652,3,148,13,2시간
VMware Cloud Management & Networks.,https://www.udemy.com/course/vmware-cloud-management-and-networks/,Компания Cloud4Y,5.0,1,788,9,2시간
YAML: Get Started and Easily,https://www.udemy.com/course/yaml-get-started-and-easily/,Pedro Planas,0.0,0,44,15,41분
YAML Beginnings: The Initiation of the Programmer,https://www.udemy.com/course/yaml-beginnings-the-initiation-of-the-programmer/,Pedro Planas,0.0,0,38,17,1시간
Active Directory Skills for IT Support Professionals,https://www.udemy.com/course/active-directory-skills-for-it-support-professionals/,Jobskillshare Community,0.0,0,737,6,1.5시간
Landing on Ships in a Helicopter,https://www.udemy.com/course/landing-on-ships-learn-to-fly-helicopters/,"Graham ""The Baron"" Hesketh",0.0,0,278,12,2시간
How to install phpFox - a powerful social network platform,https://www.udemy.com/course/how-to-install-phpfox-a-powerful-social-network-platform/,Jarkko Soini,0.0,0,398,13,35분
Quick set up of a Windows LAB in LAPTOP,https://www.udemy.com/course/quick-set-up-of-a-windows-lab-in-laptop/,Vishnu Gupthan Nair,0.0,0,700,9,1시간
Primeiros Passos no Linux - Conceitos e Principais Comandos,https://www.udemy.com/course/primeiros-passos-no-linux/,Ricardo Prudenciato,4.714727,3724,9044,57,8.5시간
