강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
"(2020 개정)무조건 합격하는 정보처리기사 OneStop 패키지(필기, 실기)",https://www.udemy.com/course/2020-onestop/,ITGO 아이티고,4.6,6,43,94,2460.0,IT_software
영상 편집 입문 with Adobe Premiere Pro CC 2021,https://www.udemy.com/course/with-adobe-premiere-pro-cc-2021/,ITGO 아이티고,5.0,4,44,82,2670.0,IT_software
"워드프레스 쇼핑몰,오픈마켓, 비지니스 웹사이트, 워드프레스 테마만들기",https://www.udemy.com/course/mywordpress/,워프 빌더,3.2,3,30,22,630.0,IT_software
기초부터 Simulation까지 한번에 배우는 PLC 프로그램 - Structured Text,https://www.udemy.com/course/plc-structuredtext/,훈상 (Hoon-Sang) 윤 (Yun),4.8,2,12,11,180.0,IT_software
메타버스 그리고 Microsoft Mesh Preview,https://www.udemy.com/course/microsoftmesh/,용성 송,4.2,2,12,8,60.0,IT_software
Raspberry pi와 Dialogflow를 활용한 인공지능 챗봇 만들기,https://www.udemy.com/course/raspberry-pi-dialogflow/,Kyle kim,2.0,1,19,22,180.0,IT_software
Adobe XD 2021 기초부터 차근차근 마스터하기,https://www.udemy.com/course/adobe-xd-2021/,ITGO 아이티고,4.5,1,3,10,300.0,IT_software
메타버스 플랫폼 - 게더타운 활용하기,https://www.udemy.com/course/koredugather/,이 지은,5.0,1,1,7,60.0,IT_software
정보보안기사 필기 - 네트워크보안,https://www.udemy.com/course/krbjjkeu/,ITGO 아이티고,0.0,0,7,34,1140.0,IT_software
AWS 바로 시작하기,https://www.udemy.com/course/aws-rightnow/,Sean Kim,0.0,0,4,10,180.0,IT_software
스마트폰을 잘 활용하게 해주는 유용한 어플 배우기,https://www.udemy.com/course/pwchwlrs/,ITGO 아이티고,0.0,0,0,20,480.0,IT_software
기초부터 Simulation까지 한번에 배우는 PLC 프로그램 - Ladder Diagram,https://www.udemy.com/course/plc-ladder/,훈상 (Hoon-Sang) 윤 (Yun),0.0,0,9,11,180.0,IT_software
시선을 사로잡는 인포그래픽 PT제작,https://www.udemy.com/course/ppt_infographic/,은정 김,0.0,0,9,19,240.0,IT_software
실습으로 배우는 AWS(Amazon Web Services) 클라우드 컴퓨팅 입문,https://www.udemy.com/course/aws-amazon-web-services-by-practice/,AISchool 에이아이스쿨,0.0,0,1,47,240.0,IT_software
게임메이커로 시작하는 1인 게임 개발,https://www.udemy.com/course/wtsamuel-gamemaker/,사무엘 김,0.0,0,3,9,40.0,IT_software
매력적인 Mac 동영상 편집 프로그램 iMovie 2021,https://www.udemy.com/course/mac-imovie-2021/,ITGO 아이티고,0.0,0,1,14,330.0,IT_software
Mac 사용자를 위한 프레젠테이션 Keynote 11,https://www.udemy.com/course/mac-keynote-11/,ITGO 아이티고,0.0,0,1,14,330.0,IT_software
AutoCAD 2022 3D 마스터 클래스,https://www.udemy.com/course/autocad-2022-3d/,ITGO 아이티고,0.0,0,0,25,780.0,IT_software
너무 쉽게 시작하는 바로하는 딥러닝 캠프,https://www.udemy.com/course/deeplearning_camp/,바로 AI 아카데미 BARO AI ACADEMY,0.0,0,2,54,510.0,IT_software
Mac 사용자를 위한 워드프로세서 Pages 11,https://www.udemy.com/course/mac-pages-11/,ITGO 아이티고,0.0,0,1,23,510.0,IT_software
3D 프린터로 재미있는 3D 입체물 만들기,https://www.udemy.com/course/3d-3d-ib/,ITGO 아이티고,0.0,0,1,10,210.0,IT_software
파이썬 뺨치는 엑셀로 시작하는 데이터분석 프리스쿨,https://www.udemy.com/course/rigtauzx/,에이블런 ABLEARN,0.0,0,1,13,120.0,IT_software
iOS 프로그래밍과 달콤한 스위프트(iOS programming with sweet swift),https://www.udemy.com/course/ios-ios-programming-with-sweet-swift/,Claude Baek,3.8,50,1225,15,330.0,IT_software
"마인드맵, 이렇게도 사용할 수 있다! Freeplane",https://www.udemy.com/course/mindmap-for-freeplane/,소프트웨어 알림장,3.8,10,254,9,120.0,IT_software
쉽고 재밌는 파이썬 기초 30분 완성,https://www.udemy.com/course/30-pmeaj/,사무직 직장인,4.1,3,22,10,35.0,IT_software
"2022 30분 요약 강좌 시즌 1-1 : HTML, CSS, Linux",https://www.udemy.com/course/30minute-summary-1-1/,호준 이,4.1,2,86,7,90.0,IT_software
30분 요약 강좌 시즌2-1 : Python 활용편,https://www.udemy.com/course/30minute-summary-2-1/,호준 이,5.0,1,73,11,90.0,IT_software
2022 30분 요약 강좌 시즌 1-3 : Python,https://www.udemy.com/course/30minute-summary-1-3/,호준 이,5.0,1,47,5,60.0,IT_software
"2022 30분 요약 강좌 시즌 1-2 : JS, Bootstrap, jQuery&Ajax",https://www.udemy.com/course/30minute-summary-1-2/,호준 이,0.0,0,75,12,120.0,IT_software
30분 요약 강좌 시즌2-3 : Python 활용편,https://www.udemy.com/course/30minute-summary-2-3/,호준 이,0.0,0,65,7,60.0,IT_software
30분 요약 강좌 시즌2-2 : Python 활용편,https://www.udemy.com/course/30minute-summary-2-2/,호준 이,0.0,0,54,5,90.0,IT_software
