강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
【글로벌 Best】 TensorFlow 2.0 : 딥러닝 모델 구현 마스터 패키지(한글자막),https://www.udemy.com/course/best-keras-api-tensorflow-20/,Hadelin de Ponteves,5.0,6,88,133,780.0,data_science
【글로벌 Best】 Pandas 및 Python 을 이용한 데이터 분석 : 마스터 클래스 (한글자막),https://www.udemy.com/course/best-pandas-python/,"Dr. Ryan Ahmed, Ph.D., MBA",4.3,6,56,176,1260.0,data_science
【글로벌 Best】 재무 분석을 위한 Python 및 Machine Learning 완벽가이드 (한글자막),https://www.udemy.com/course/best-python-mi-financial-analysis/,"Dr. Ryan Ahmed, Ph.D., MBA",4.8,5,67,131,1380.0,data_science
【글로벌 Best】 R 프로그래밍: Data Science 에서의 R 고급 분석 (한글자막),https://www.udemy.com/course/best-r-advanced/,Kirill Eremenko,5.0,5,30,53,360.0,data_science
【글로벌 Best】 Python 의 모든 것: 실전 문제로 배우는 파이썬 (한글자막),https://www.udemy.com/course/best-python-data-science/,Kirill Eremenko,5.0,5,35,75,660.0,data_science
【글로벌 Best】 스파크 스트리밍과 Scala 로 빅 데이터 스트리밍하기 (실전편),https://www.udemy.com/course/best-scala/,Sundog Education by Frank Kane,5.0,4,30,37,390.0,data_science
【글로벌 Best】 Deep Reinforcement Learning :딥 강화형 러닝 2.0 (한글자막),https://www.udemy.com/course/best-deep-reinforcement-learning/,Hadelin de Ponteves,5.0,4,34,63,570.0,data_science
【글로벌 Best】 Machine Learning 라이브러리 수학적 기초 (한글자막),https://www.udemy.com/course/best-ml-math/,Dr Jon Krohn,5.0,3,105,105,930.0,data_science
빅데이터 활용을 위한 R프로그래밍 한 번에 끝내기,https://www.udemy.com/course/r-kzpvmt/,ITGO 아이티고,4.4,3,42,99,2550.0,data_science
【글로벌 Best】 기초부터 배우는 Python 인공 신경망 : 완벽가이드 (한글자막),https://www.udemy.com/course/best-python-neural-networks/,Jones Granatyr,5.0,3,41,73,510.0,data_science
"SQL 개발자 전문 자격증, SQLD 완벽대비",https://www.udemy.com/course/sql-sqld/,ITGO 아이티고,4.0,3,38,56,1680.0,data_science
쉽게 배우는 텍스트 마이닝(Text Mining),https://www.udemy.com/course/text-mining/,ITGO 아이티고,4.0,2,35,171,3360.0,data_science
【글로벌 Best】 Python 을 사용한 데이터 시각화 (한글자막),https://www.udemy.com/course/best-python-data-visualization/,Jordan Sauchuk,5.0,2,44,49,270.0,data_science
"완전 초보자, 매력적인  R 차트 쉽게 만들기",https://www.udemy.com/course/r-data-visualization-for-total-beginers/,김지형 M.D.,5.0,2,23,13,120.0,data_science
"데이터분석 전문가 자격증, ADP 완벽대비",https://www.udemy.com/course/adp-clgr/,ITGO 아이티고,4.2,2,16,39,1110.0,data_science
"기초부터 탄탄하게, Machin Learning을 위한 선형대수학",https://www.udemy.com/course/machin-learning/,ITGO 아이티고,4.5,2,22,41,960.0,data_science
인공지능을 위한 텐서플로2 + 케라스 라이브러리 실전 적용,https://www.udemy.com/course/tk-softcampus/,Softcampus Academy,2.0,1,1,27,450.0,data_science
코드리스 데이터 분석,https://www.udemy.com/course/kqfogepv/,에이블런 ABLEARN,5.0,1,1,11,270.0,data_science
SPSS와 엑셀로 배우는 데이터사이언스 필수 수학 및 통계,https://www.udemy.com/course/spss-bxj/,ITGO 아이티고,0.0,0,9,62,1920.0,data_science
[DATA 한입] R을 활용한 경영데이터 분석,https://www.udemy.com/course/data-r-f/,HAPPY COLLEGE,0.0,0,0,51,450.0,data_science
"데이터분석 전문가 자격증(ADP), 핵심만 빠르게 정리하기",https://www.udemy.com/course/adp-ohpw/,ITGO 아이티고,0.0,0,0,22,660.0,data_science
파이썬 기반 판다스(Pandas)를 활용 한 데이터 분석,https://www.udemy.com/course/pandas-sc/,Softcampus Academy,0.0,0,1,25,540.0,data_science
"데이터 시각화, 분석 Spotfire(스팟파이어) 제대로 배우기",https://www.udemy.com/course/spotfire/,ITGO 아이티고,0.0,0,2,38,1050.0,data_science
[통계직을 위한 통계학] 확률론과 데이터분석,https://www.udemy.com/course/vyghcmwe/,ITGO 아이티고,0.0,0,3,62,1800.0,data_science
