강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
SQL Server High Availability and Disaster Recovery (HA/DR),https://www.udemy.com/course/sqlserverhadrdeepdive/,Edwin M Sarmiento,4.6,851,6169,32,780.0,DataBase
Learn SSRS SQL Reporting & Business Intelligence Essentials,https://www.udemy.com/course/exploring-ssrs-creating-great-reports/,William Belisle,4.7,848,5775,33,210.0,DataBase
"PostgreSQL Bootcamp : Go From Beginner to Advanced, 60+hours",https://www.udemy.com/course/postgresqlmasterclass/,Adnan Waheed,4.4,833,7371,627,4050.0,DataBase
Using MySQL Databases With Python,https://www.udemy.com/course/using-mysql-databases-with-python/,John Elder,4.7,827,8373,25,120.0,DataBase
Stored Procedures Unpacked: Learn to Code T-SQL Stored Procs,https://www.udemy.com/course/stored-procedures-unpacked-learn-to-code-t-sql-stored-procs/,Kris Wenzel,4.3,757,3749,39,210.0,DataBase
SQL Server Administration: (SQL Server Integration Services),https://www.udemy.com/course/sql-server-administration-sql-server-integration-services/,Raphael Asghar,4.7,734,4475,29,330.0,DataBase
Mastering SQL Server Reporting Services (SSRS) From Scratch,https://www.udemy.com/course/ssrs2017/,Kameswara Sarma Uppuluri,4.6,730,3855,79,540.0,DataBase
Data Warehouse Developer-SQL Server/ETL/SSIS/SSAS/SSRS/T-SQL,https://www.udemy.com/course/data-warehouse-developer-sql-serveretlssisssasssrst-sql/,Bluelime Learning Solutions,4.3,729,20840,83,480.0,DataBase
Learn Data Warehousing From Scratch- From Solution Architect,https://www.udemy.com/course/learn-data-warehousing-from-solution-architect/,Asif Raza,4.2,726,3939,33,120.0,DataBase
Learn by Example : HBase - The Hadoop Database,https://www.udemy.com/course/learn-by-example-hbase/,Loony Corn,4.3,696,6481,43,300.0,DataBase
Microsoft Access SQL: SQL for Non-Programmers,https://www.udemy.com/course/learn-access-sql-from-scratch/,IsáBel .,4.6,687,6437,87,240.0,DataBase
Learn Advanced T-SQL For SQL Server Administrator,https://www.udemy.com/course/learn-advanced-t-sql-for-sql-server-administrator/,Raphael Asghar,4.5,671,4518,34,330.0,DataBase
SQL Server Reporting Services Part 2 (SSRS),https://www.udemy.com/course/sql-server-reporting-services-part-2-ssrs/,Raphael Asghar,4.3,665,5786,35,390.0,DataBase
