강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
"[웹사이트 직접 만들기] 진짜 왕초보를 위한 HTML5, CSS3",https://www.udemy.com/course/html5-css3-jq/,ITGO 아이티고,4.8,3,38,105,3300.0,devel_web
만들면서 배우는 Spring MVC 5,https://www.udemy.com/course/spring-mvc5/,Softcampus Academy,4.7,3,10,64,1770.0,devel_web
Django(장고) 프레임워크 제대로 배우기 (입문),https://www.udemy.com/course/django-i/,ITGO 아이티고,5.0,2,14,77,1800.0,devel_web
【글로벌 Best】 Azure Functions 및 Logic Apps 을 통한 서버리스 컴퓨팅 (한글자막),https://www.udemy.com/course/best-azure-serverless/,Scott Duffy  • 700.000+ Students,5.0,2,20,27,120.0,devel_web
코알못에서 웹서비스 런칭까지 : 2021 제주 코딩 베이스캠프(Django),https://www.udemy.com/course/jeju-coding-basecamp/,호준 이,0.0,0,1,195,1410.0,devel_web
"[실전웹사이트제작(입문)]따라하면서 쉽게 배우는 HTML, CSS _쌩초보코스",https://www.udemy.com/course/html-css-_/,J. young,0.0,0,4,14,150.0,devel_web
시험 전에 꼭 봐야 할 웹디자인기능사 공개문제,https://www.udemy.com/course/dsoqhlxp/,ITGO 아이티고,0.0,0,0,24,780.0,devel_web
[실전 웹사이트제작(초.중급)]따라하면서 쉽게 배우는 인터렉티브웹 _ 라한호텔 사이트제작,https://www.udemy.com/course/_-bgqqwt/,J. young,0.0,0,4,24,240.0,devel_web
[실전웹사이트제작(초.중급)]따라하면서 쉽게 배우는 반응형 웹-크루알라모드제작,https://www.udemy.com/course/atwyzbcg/,J. young,0.0,0,8,19,180.0,devel_web
[실전웹사이트제작(초.중급)]풀페이지 레이아웃제작_포메인제작,https://www.udemy.com/course/_-loihgb/,J. young,0.0,0,3,15,150.0,devel_web
개발자를 위한 XML 클래스,https://www.udemy.com/course/xml-eqhx/,ITGO 아이티고,0.0,0,5,32,660.0,devel_web
"[실전 웹사이트제작(초급)]따라하면서 쉽게 배우는 HTML,CSS_한국소비자원사이트제작",https://www.udemy.com/course/htmlcss_/,J. young,0.0,0,2,8,120.0,devel_web
Azure(에저)와 Azure DevOps를 사용하여 데브옵스 시작하기,https://www.udemy.com/course/azure-azure-devops/,ITGO 아이티고,0.0,0,14,28,780.0,devel_web
SPA 기반 풀스택 웹개발 과정 (Angular8 사용),https://www.udemy.com/course/spa-angular8/,ITGO 아이티고,0.0,0,6,40,840.0,devel_web
웹디자인기능사 실기 제대로 준비하기,https://www.udemy.com/course/kdmjdyww/,ITGO 아이티고,0.0,0,3,21,600.0,devel_web
[실전웹사이트제작(초급)]따라하면서 쉽게 배우는 레이아웃제작 -돕다사이트제작,https://www.udemy.com/course/flduilug/,J. young,0.0,0,2,8,120.0,devel_web
워드프레스 핵심 포인트 마스터,https://www.udemy.com/course/opanzjxt/,명준 김,0.0,0,1,10,120.0,devel_web
Vue.js 프로그래밍 입문,https://www.udemy.com/course/vuejs-yv/,ITGO 아이티고,0.0,0,13,35,1260.0,devel_web
"AskDjango 와 함께 장고걸스 튜토리얼 따라하기 ( django, 장고 ) - Free",https://www.udemy.com/course/djangogirls-with-askdjango/,Chinseok Lee,4.5,332,3489,41,390.0,devel_web
Spring Boot JWT Tutorial,https://www.udemy.com/course/spring-boot-jwt-tutorial/,Eungoo Jung,4.6,22,443,5,44.0,devel_web
