강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
AWS 공인 솔루션스 아키텍트 – 어소시에이트 SAA-C02 연습문제,https://www.udemy.com/course/aws-saa-c02/,빌드업웍스 | AWS Certified Solutions Architect,4.3,132,790,0,,IT_certified
【글로벌 Best】 AWS Certified Solutions Architect Associate 시험합격!,https://www.udemy.com/course/best-aws-certified-solutions-architect-associate/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.6,107,532,371,1620.0,IT_certified
AWS 공인 클라우드 전문가 CLF-C01 연습문제,https://www.udemy.com/course/aws-clf-c01/,빌드업웍스 | AWS Certified Solutions Architect,4.4,52,315,0,,IT_certified
AWS(Amazon Web Service) 입문자를 위한 강의,https://www.udemy.com/course/aws-beginner-sk/,Sungmin Kim,4.2,48,197,49,540.0,IT_certified
【글로벌 Best】 AWS Certified Cloud 전문가 시험 합격을 위한 모든 것 (한글자막),https://www.udemy.com/course/best-aws-certified-cloud/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.5,28,128,261,870.0,IT_certified
【글로벌 Best】 PMP 시험 단기 완성 - 2021년 PMP 시험 개정안 (한글 자막),https://www.udemy.com/course/best-pmp-2021-cram/,Joseph Phillips,4.1,10,55,115,570.0,IT_certified
【글로벌 Best】 ITIL 4를 통한 서비스 관리 기초 강의 (한글자막),https://www.udemy.com/course/best-itil-4-service-management/,"Jason Dion • 700,000+ Enrollments Worldwide",4.4,10,36,24,120.0,IT_certified
【글로벌 Best】 하루만에 AZ-900 Microsoft Azure Fundamentals 시험 완벽 준비,https://www.udemy.com/course/best-az-900-microsoft-azure/,Scott Duffy  • 700.000+ Students,5.0,9,56,67,300.0,IT_certified
AWS 공인 시스템 운영 관리자 – 어소시에이트 SOA-C02 연습문제,https://www.udemy.com/course/aws-soa-c02/,빌드업웍스 | AWS Certified Solutions Architect,4.7,7,53,0,,IT_certified
【글로벌】 AZ-303 Azure 아키텍쳐 기술 시험 완벽 대비 (한글자막),https://www.udemy.com/course/az-303-azure/,Scott Duffy  • 700.000+ Students,5.0,7,19,152,780.0,IT_certified
【글로벌 Best】 AZ-104 Azure 관리자 자격 시험 완벽 대비 (한글자막),https://www.udemy.com/course/best-az-104-azure/,Scott Duffy  • 700.000+ Students,4.7,7,34,161,750.0,IT_certified
【글로벌 Best】 DP-200 Azure 데이터 시험 : 하루만에 완벽 대비 (한글자막),https://www.udemy.com/course/best-dp-200-azure/,Scott Duffy  • 700.000+ Students,5.0,5,20,58,300.0,IT_certified
