강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
"Docker 야간과외(DevOps Korea meetup, Hands-on 영상 녹화)",https://www.udemy.com/course/devopskorea-hands-on-meetup-docker/,Ralf Yang,5.0,30,185,11,150.0,IT_os_server
아마존 AWS 입문,https://www.udemy.com/course/maso-it-aws-onc2004/,마소캠퍼스 머니매그넷,4.4,18,61,20,90.0,IT_os_server
Automating My MacBook - Get started with Keyboard Maestro,https://www.udemy.com/course/the-complete-keyboard-maestro-bootcamp/,YungKi Hong,3.3,4,23,59,480.0,IT_os_server
【글로벌 Best】 Azure 집중 분석 : Virtual Machine 완벽 가이드 (한글자막),https://www.udemy.com/course/best-azure-virtual-machine/,Scott Duffy  • 700.000+ Students,5.0,1,12,29,90.0,IT_os_server
리눅스마스터 1급 자격증 완전 정복,https://www.udemy.com/course/1-mnpcim/,ITGO 아이티고,0.0,0,7,25,990.0,IT_os_server
"실전 OS이론 및 Unix, Linux(유닉스, 리눅스) 실전 핵심 배우기 (2022)",https://www.udemy.com/course/os-unix-linux-2022/,ITGO 아이티고,0.0,0,6,49,1140.0,IT_os_server
리눅스마스터 2급 자격증 완전 정복,https://www.udemy.com/course/2-fkiuwj/,ITGO 아이티고,0.0,0,6,27,1200.0,IT_os_server
리눅스 유닉스 시스템 프로그래밍 3/5 - 프로세스 process,https://www.udemy.com/course/linux-prog-03/,백콤프 baek.comp,0.0,0,0,8,60.0,IT_os_server
macOS Big Sur(빅서) 효과적으로 사용하는 법,https://www.udemy.com/course/macos-big-sur/,ITGO 아이티고,0.0,0,0,46,1020.0,IT_os_server
"리눅스 유닉스 IPC 프로그래밍 - 시그널, 파이프, 네임드 파이프 Linux Unix Signal Pipe",https://www.udemy.com/course/linux-prog-ipc/,백콤프 baek.comp,0.0,0,0,12,90.0,IT_os_server
Learn Linux in 5 Days and Level Up Your Career,https://www.udemy.com/course/learn-linux-in-5-days/,Jason Cannon,4.5,33626,152486,84,810.0,IT_os_server
Linux Command Line Basics,https://www.udemy.com/course/linux-command-line-volume1/,Ahmed Alkabary,4.5,22383,166717,41,300.0,IT_os_server
Linux Administration Bootcamp: Go from Beginner to Advanced,https://www.udemy.com/course/linux-administration-bootcamp/,Jason Cannon,4.5,20643,96425,76,540.0,IT_os_server
