강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
파이썬 데이터 분석 실무,https://www.udemy.com/course/maso-ds-python-onc32/,마소캠퍼스 머니매그넷,4.7,10,28,77,690.0,devel_prg_lang
너무 쉬운 C 언어 입문,https://www.udemy.com/course/so_easy_c_language/,Tei Jang,4.8,10,28,14,150.0,devel_prg_lang
너무 쉬운 파이썬(Python) 입문,https://www.udemy.com/course/so_easy_python/,Tei Jang,5.0,9,22,14,150.0,devel_prg_lang
C언어 기초에서 활용까지 제대로 배우기(초급),https://www.udemy.com/course/c-ykzdif/,ITGO 아이티고,5.0,8,26,73,2610.0,devel_prg_lang
컴퓨터 과학적 사고와 프로그래밍 입문,https://www.udemy.com/course/maso-it-scratch-onc2002/,마소캠퍼스 머니매그넷,5.0,8,16,15,90.0,devel_prg_lang
예제로 공부하는 Java 문제풀이 100제 - 기초부터 자격증까지,https://www.udemy.com/course/java-100/,ITGO 아이티고,4.6,8,81,107,2670.0,devel_prg_lang
왕초보를 위한 알고리즘 핵심 이론 제대로 배우기,https://www.udemy.com/course/bfattewx/,ITGO 아이티고,5.0,8,28,27,840.0,devel_prg_lang
"코딩교육의 시작, 엔트리 기초부터 심화까지",https://www.udemy.com/course/uztxhhty/,ITGO 아이티고,5.0,8,24,40,990.0,devel_prg_lang
【글로벌 Best】 알고리즘 거래와 투자의 기술적 분석 with Python (한글자막),https://www.udemy.com/course/best-python/,Alexander Hagmann,5.0,8,100,165,810.0,devel_prg_lang
너도 프론트엔드(FrontEnd) 개발자 할 수 있어! 자바스크립트(Javascript) 기초부터 응용까지!,https://www.udemy.com/course/javascript-o/,에피노 주식회사,5.0,7,33,48,570.0,devel_prg_lang
ASP.NET CORE 페이징 컨트롤 제작 매뉴얼,https://www.udemy.com/course/dotnetpaging/,Jeong-soo Kim,4.9,7,36,45,600.0,devel_prg_lang
파이썬 데이터 분석 입문,https://www.udemy.com/course/maso-ds-python-onc31/,마소캠퍼스 머니매그넷,4.8,7,21,101,900.0,devel_prg_lang
쉽게 배우는 C# 알고리즘 입문,https://www.udemy.com/course/c-wefxog/,ITGO 아이티고,5.0,7,37,24,540.0,devel_prg_lang
【글로벌】 완전 초보자도 쉽게 마스터하는 파이썬 및 데이터 과학 강의 (한글자막),https://www.udemy.com/course/python-data-science-absolute-beginner/,Mammoth Interactive,5.0,7,23,198,1590.0,devel_prg_lang
"MySQL, 기초에서 실무까지 완전정복하기",https://www.udemy.com/course/mysql-ma/,ITGO 아이티고,4.2,7,54,116,3690.0,devel_prg_lang
스크래치로 코딩 시작하기,https://www.udemy.com/course/lrggfuax/,ITGO 아이티고,5.0,6,21,19,330.0,devel_prg_lang
[135시간 분량 강의 제공] Python(파이썬) 기초부터 실무까지 제대로 배우기,https://www.udemy.com/course/itgo-python/,ITGO 아이티고,5.0,6,118,242,8160.0,devel_prg_lang
쉽게 배우는 Python 알고리즘 입문,https://www.udemy.com/course/python-ye/,ITGO 아이티고,5.0,6,24,22,330.0,devel_prg_lang
코딩 초보자를 위한 파이썬(Python) 입문(Beginner),https://www.udemy.com/course/effino-python/,에피노 주식회사,5.0,5,18,26,240.0,devel_prg_lang
쉽게 배우는 Java 알고리즘 입문,https://www.udemy.com/course/java-kkt/,ITGO 아이티고,5.0,5,33,22,300.0,devel_prg_lang
【글로벌 Best】 초보자를 위한 Python 3 프로그래밍 (한글 자막),https://www.udemy.com/course/best-python-3/,in28Minutes Official,5.0,4,26,139,660.0,devel_prg_lang
"기초부터 심화까지 한번에 해결하는 자바스크립트, jQuery",https://www.udemy.com/course/jquery-h/,ITGO 아이티고,4.5,4,55,234,7260.0,devel_prg_lang
쉽게 배우는 JavaScript 알고리즘 입문,https://www.udemy.com/course/javascript-z/,ITGO 아이티고,4.7,4,53,24,360.0,devel_prg_lang
[기초]누구나 쉽게 따라할 수 있는 R로 하는 데이터시각화(Visualisation),https://www.udemy.com/course/r-visualisation_basic/,Evan Jung,3.8,3,19,23,300.0,devel_prg_lang
아빠가 들려주는 Rshiny 뚝딱 만들기,https://www.udemy.com/course/ez-rshiny/,김지형 M.D.,4.7,3,34,29,150.0,devel_prg_lang
"개발자 입문 필수 3종 과정: 파이썬, HTML/CSS, 데이터베이스 기초",https://www.udemy.com/course/python_htmlcss_mssql/,Tei Jang,4.0,2,7,57,810.0,devel_prg_lang
R로 시작하는 비전공자를 위한 기초통계분석,https://www.udemy.com/course/r_basic_statistics/,Evan Jung,4.3,2,10,8,150.0,devel_prg_lang
Javascript(자바스크립트) 플랫폼 Node js 제대로 배우기,https://www.udemy.com/course/javascript-node-js/,ITGO 아이티고,1.0,1,15,50,1710.0,devel_prg_lang
[C# 초보 강좌] 예제로 배우는 C# 프로그래밍,https://www.udemy.com/course/c-c-owpt/,Blue Star,5.0,1,9,29,360.0,devel_prg_lang
Python 엑셀 프로그래밍 - with xlsxwriter,https://www.udemy.com/course/python-with-xlsxwriter/,호준 이,4.5,1,3,53,510.0,devel_prg_lang
[DATA 한입] 파이썬을 활용한 웹크롤링,https://www.udemy.com/course/data-lzm/,HAPPY COLLEGE,4.0,1,3,49,450.0,devel_prg_lang
초보자를 위한 C++ 프로그래밍 기초 다지기,https://www.udemy.com/course/c-tunmrk/,ITGO 아이티고,0.0,0,3,13,450.0,devel_prg_lang
파이썬 프로그래밍 입문,https://www.udemy.com/course/wtrfrshp/,Softcampus Academy,0.0,0,2,15,360.0,devel_prg_lang
C언어 기초에서 활용까지 제대로 배우기(중급),https://www.udemy.com/course/c-dmizqk/,ITGO 아이티고,0.0,0,3,89,3150.0,devel_prg_lang
코딩 기초 입문 with Python,https://www.udemy.com/course/with-python/,ITGO 아이티고,0.0,0,2,15,240.0,devel_prg_lang
제주코딩베이스캠프 Code Festival: Python 100제,https://www.udemy.com/course/code-festival-python-100/,호준 이,0.0,0,3,128,930.0,devel_prg_lang
